"freq
References : ['S(2,1)','S(1,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.539 GHz,1.703E-6 / -55.819,0.995 / -144.467
1.539 GHz,1.704E-6 / -55.830,0.995 / -144.478
1.540 GHz,1.705E-6 / -55.842,0.995 / -144.490
1.540 GHz,1.706E-6 / -55.853,0.995 / -144.501
1.540 GHz,1.708E-6 / -55.864,0.995 / -144.512
1.540 GHz,1.709E-6 / -55.876,0.995 / -144.523
1.540 GHz,1.710E-6 / -55.887,0.995 / -144.535
1.540 GHz,1.711E-6 / -55.898,0.995 / -144.546
1.540 GHz,1.713E-6 / -55.910,0.995 / -144.557
1.540 GHz,1.714E-6 / -55.921,0.995 / -144.568
1.540 GHz,1.715E-6 / -55.932,0.995 / -144.580
1.540 GHz,1.716E-6 / -55.944,0.995 / -144.591
1.540 GHz,1.718E-6 / -55.955,0.995 / -144.602
1.541 GHz,1.719E-6 / -55.966,0.995 / -144.614
1.541 GHz,1.720E-6 / -55.978,0.995 / -144.625
1.541 GHz,1.721E-6 / -55.989,0.995 / -144.636
1.541 GHz,1.723E-6 / -56.000,0.995 / -144.647
1.541 GHz,1.724E-6 / -56.012,0.995 / -144.659
1.541 GHz,1.725E-6 / -56.023,0.995 / -144.670
1.541 GHz,1.726E-6 / -56.034,0.995 / -144.681
1.541 GHz,1.728E-6 / -56.046,0.995 / -144.692
1.541 GHz,1.729E-6 / -56.057,0.995 / -144.704
1.542 GHz,1.730E-6 / -56.068,0.995 / -144.715
1.542 GHz,1.731E-6 / -56.080,0.995 / -144.726
1.542 GHz,1.733E-6 / -56.091,0.995 / -144.738
1.542 GHz,1.734E-6 / -56.103,0.995 / -144.749
1.542 GHz,1.735E-6 / -56.114,0.995 / -144.760
