"freq
References : ['S(1,1)','S(2,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.538 GHz,0.994 / -155.395,7.541E-8 / -66.465
1.538 GHz,0.994 / -155.409,7.546E-8 / -66.479
1.538 GHz,0.994 / -155.423,7.552E-8 / -66.493
1.538 GHz,0.994 / -155.437,7.557E-8 / -66.507
1.538 GHz,0.994 / -155.450,7.562E-8 / -66.521
1.538 GHz,0.994 / -155.464,7.568E-8 / -66.535
1.538 GHz,0.994 / -155.478,7.573E-8 / -66.549
1.538 GHz,0.994 / -155.492,7.578E-8 / -66.563
1.538 GHz,0.994 / -155.506,7.583E-8 / -66.577
1.538 GHz,0.994 / -155.520,7.589E-8 / -66.591
1.538 GHz,0.994 / -155.534,7.594E-8 / -66.605
1.539 GHz,0.994 / -155.548,7.599E-8 / -66.619
1.539 GHz,0.994 / -155.562,7.605E-8 / -66.633
1.539 GHz,0.994 / -155.575,7.610E-8 / -66.647
1.539 GHz,0.994 / -155.589,7.615E-8 / -66.660
1.539 GHz,0.994 / -155.603,7.621E-8 / -66.674
1.539 GHz,0.994 / -155.617,7.626E-8 / -66.688
1.539 GHz,0.994 / -155.631,7.632E-8 / -66.702
1.539 GHz,0.994 / -155.645,7.637E-8 / -66.716
1.539 GHz,0.994 / -155.659,7.642E-8 / -66.730
1.540 GHz,0.994 / -155.673,7.648E-8 / -66.744
1.540 GHz,0.994 / -155.687,7.653E-8 / -66.758
1.540 GHz,0.994 / -155.701,7.658E-8 / -66.772
1.540 GHz,0.994 / -155.714,7.664E-8 / -66.786
1.540 GHz,0.994 / -155.728,7.669E-8 / -66.800
1.540 GHz,0.994 / -155.742,7.675E-8 / -66.814
1.540 GHz,0.994 / -155.756,7.680E-8 / -66.828
1.540 GHz,0.994 / -155.770,7.685E-8 / -66.842
1.540 GHz,0.994 / -155.784,7.691E-8 / -66.856
1.540 GHz,0.994 / -155.798,7.696E-8 / -66.870
1.540 GHz,0.994 / -155.812,7.702E-8 / -66.884
1.541 GHz,0.994 / -155.826,7.707E-8 / -66.898
1.541 GHz,0.994 / -155.840,7.712E-8 / -66.912
1.541 GHz,0.994 / -155.853,7.718E-8 / -66.926
1.541 GHz,0.994 / -155.867,7.723E-8 / -66.940
1.541 GHz,0.994 / -155.881,7.729E-8 / -66.954
1.541 GHz,0.994 / -155.895,7.734E-8 / -66.968
1.541 GHz,0.994 / -155.909,7.740E-8 / -66.981
1.541 GHz,0.994 / -155.923,7.745E-8 / -66.995
1.541 GHz,0.994 / -155.937,7.750E-8 / -67.009
1.542 GHz,0.994 / -155.951,7.756E-8 / -67.023
1.542 GHz,0.994 / -155.965,7.761E-8 / -67.037
1.542 GHz,0.994 / -155.979,7.767E-8 / -67.051
1.542 GHz,0.994 / -155.993,7.772E-8 / -67.065
1.542 GHz,0.994 / -156.006,7.778E-8 / -67.079
